name,hidden_dims,params,best_epoch,val_loss,val_f1,test_exact_match,test_precision,test_recall,test_f1
D_384_128_7,"[128]",50183,70,0.014827,0.974119,0.991379,0.991379,0.991379,0.991379
B1_384_128_32_7,"[128, 32]",53639,39,0.014866,0.982740,0.965517,0.995690,0.987069,0.991361
H_384_192_96_48_7,"[192, 96, 48]",97447,33,0.014534,0.991361,0.965517,0.995690,0.987069,0.991361
B2_384_160_80_7,"[160, 80]",75047,26,0.013420,0.982740,0.982759,0.991379,0.987069,0.989219
D1_384_160_7,"[160]",62727,68,0.014858,0.974119,0.982759,0.991379,0.987069,0.989219
D2_384_192_7,"[192]",75271,44,0.015454,0.974119,0.982759,0.991379,0.987069,0.989219
E0_384_256_7,"[256]",100359,42,0.015334,0.974119,0.982759,0.991379,0.987069,0.989219
E_384_256_64_7,"[256, 64]",115463,21,0.013337,0.982740,0.982759,0.991379,0.987069,0.989219
A2_384_48_7,"[48]",18823,78,0.017279,0.974119,0.974138,0.991379,0.982759,0.987050
A3_384_80_7,"[80]",31367,60,0.015444,0.974119,0.974138,0.991379,0.982759,0.987050
B_384_128_64_7_current,"[128, 64]",57991,37,0.014995,0.974119,0.974138,0.991379,0.982759,0.987050
A_384_64_7,"[64]",25095,67,0.016581,0.974119,0.965517,0.987069,0.982759,0.984909
A5_384_96_32_7,"[96, 32]",40295,29,0.016081,0.982740,0.965517,0.991379,0.978448,0.984871
C_384_256_128_64_7,"[256, 128, 64]",140167,18,0.013677,0.991361,0.931035,0.991379,0.974138,0.982683
F_384_512_256_128_64_7,"[512, 256, 128, 64]",370055,10,0.016540,0.991361,0.931035,0.995690,0.969828,0.982588
A1_384_32_7,"[32]",12551,79,0.019088,0.974119,0.948276,0.987069,0.974138,0.980561
G_384_96_48_7,"[96, 48]",41959,26,0.016940,0.974119,0.948276,0.987069,0.974138,0.980561
A4_384_64_32_7,"[64, 32]",26951,51,0.015156,0.982740,0.939655,0.987069,0.969828,0.978372
A0_384_7_linear,"[]",2695,80,0.064282,0.967668,0.956897,0.978448,0.974138,0.976288
