rank,optimizer,batch_size,runs,params,mean_best_epoch,std_best_epoch,mean_val_loss,std_val_loss,mean_val_f1,std_val_f1,mean_test_exact,std_test_exact,mean_test_f1,std_test_f1
1,rmsprop,16,3,50183,47.000,9.092,0.014529,0.000580,0.974119,0.000000,0.979885,0.004064,0.992813,0.002690
2,rmsprop,8,3,50183,32.667,6.128,0.014964,0.000366,0.974119,0.000000,0.982759,0.000000,0.991376,0.003050
3,adam,16,3,50183,53.000,4.967,0.015308,0.000077,0.974119,0.000000,0.979885,0.004064,0.988496,0.001023
4,adam,8,3,50183,48.333,7.040,0.015695,0.000466,0.974119,0.000000,0.977011,0.004064,0.987780,0.001018
5,adamw,8,3,50183,30.667,3.771,0.014103,0.000567,0.976992,0.004064,0.977011,0.004064,0.987773,0.001023
6,adamw,16,3,50183,43.000,3.559,0.013413,0.000649,0.977716,0.003661,0.977011,0.004064,0.987773,0.001023
7,rmsprop,32,3,50183,55.667,5.437,0.015276,0.000011,0.974842,0.001023,0.977011,0.004064,0.987773,0.001023
8,adamw,32,3,50183,58.667,0.943,0.014105,0.000404,0.976992,0.004064,0.971264,0.004064,0.986336,0.001009
9,adam,32,3,50183,60.000,0.000,0.016827,0.000175,0.974842,0.001023,0.965517,0.000000,0.984896,0.000018
10,sgd,8,3,50183,60.000,0.000,0.372570,0.005994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,sgd,16,3,50183,60.000,0.000,0.406003,0.004016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,sgd,32,3,50183,60.000,0.000,0.474234,0.006867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
